Index|Text
1|[경비원님께 알립니다.]
2|안녕하세요. 당신이 근무를 시작하기 전 이 곳에서 야간 순찰을 했던 ㅁㅁㅁ 경비원입니다.
3|대면 인수인계를 하며 주의사항을 알려드리는 것이 규정이나, 피치 못할 사정으로 일을 그만두게 되어 위 방송으로 대체하게 된 점 양해 부탁드립니다.
4|어쨌든… 본 미술관에서는 경비원 분들의 안전을 위하여 몇 가지 주의사항을 안내 드리고 있습니다. 
5|야간 근무 시 차질이 없도록 잘 숙지해 주십시오.
6|첫 번째. 미술관에서 변화를 감지할 시 되도록 빠른 시간 내에 원래의 자리로 돌려놓아야 합니다.
7|미술관은 언제나 정돈된 상태일 것을 권장합니다.
8|[스페이스 바]를 통해 물건의 변화를 고칠 때는 섬세한 관찰이 필요하기 때문에 약간의 시간이 소요될 수 있습니다.
9|두 번째. CCTV, 혹은 육안을 통해 이상한 것을 목격했다면 ¾? ?º ¾Æ?? 주십시오.
10|미술관의 모든 물품은 늘 제 자리에 있어야 합니다.
11|경비실은 당신의 일시적인 안전을 보장하며, [E 키]를 통해 손쉽게 CCTV로 변화를 감지할 수 있습니다.
12|하지만 오랜 근무 태만은 당신의 평가에 악영향을 미칠 것입니다.
13|세 번째. 야간 입장 인원 제한은 최대 3명입니다.
14|만약 네 명 이상이 돌아다닌다면 규정에 어긋나므로 미술관 측에서 확인 후 징계조치를 취할 수 있습니다.
15|해가 뜨면 다음 경비원이 출근하므로 근무를 마치고 교대할 수 있습니다.
16|상기한 규칙들은 당신이 안전하고 즐거운 근무를 지속할 수 있게 도와줄 것입니다. 그러니 설명드린 내용을 유념하여 근무해주시기 바랍니다.